,log T,sig,sig(MC),log g,,,vrad,,,logN(HI),,,scalefac,,,E(44-55),,,R(55),,,X0,,,Gamma,,,C1,,,C2,,,C3,,,C4,,,C5,,,NUV,,
BBB_SMC280,4.356,0.020,0.029,2.990,0.325,0.626,625.896,80.889,113.824,21.880,0.100,0.088,-22.172,0.021,0.024,0.193,0.018,0.014,6.346,0.564,0.530,4.640,0.092,0.073,1.500,0.000,0.185,-3.462,0.577,0.704,1.706,0.167,0.218,2.376,0.349,0.661,0.328,0.193,0.132,5.604,0.574,0.387,99.990,0,0.000
MR12_09,4.186,0.008,0.013,4.300,0,0.032,201.456,46.563,52.005,21.910,0.063,0.073,-23.756,0.027,0.037,0.128,0.015,0.023,3.347,0.762,1.206,4.750,0.000,0.045,0.652,0.335,0.172,-4.217,0,1.118,2.005,0.161,0.339,0.487,0.394,0.326,0.379,0.288,0.234,7.000,0,0.699,99.990,0,0.000
MR12_11,4.290,0.031,0.022,4.300,0,0.246,76.168,75.139,96.671,22.084,0.095,0.119,-23.846,0.043,0.029,0.317,0.028,0.018,2.394,0.375,0.302,4.648,0.022,0.021,0.696,0.099,0.076,-4.264,0.591,0.461,1.961,0.169,0.134,1.341,0.371,0.332,0.024,0.077,0.133,5.000,0,0.842,2.709,0.322,0.282
NGC330_110,4.419,0.005,0.007,4.300,0,0.056,103.827,6.667,4.788,21.572,0.012,0.009,-23.483,0.009,0.009,0.093,0.007,0.007,2.000,0.000,0.000,4.580,0.032,0.022,0.578,0.199,0.118,-3.902,0,0.418,1.910,0.116,0.127,0.238,0.138,0.133,0.133,0.067,0.052,7.000,0,0.453,2.644,0.123,0.115
NGC330_114,4.381,0.006,0.009,4.300,0,0.106,94.367,8.067,5.588,21.739,0.013,0.009,-23.397,0.023,0.011,0.097,0.012,0.009,2.807,0.875,0.153,4.631,0.020,0.018,0.493,0.118,0.064,-5.196,0,0.523,2.302,0.214,0.159,0.274,0.111,0.083,0.193,0.076,0.066,7.000,0,0.583,2.462,0.118,0.104
NGC330_116,4.320,0.005,0.009,4.300,0,0.144,11.192,9.670,7.225,21.291,0.017,0.017,-23.345,0.010,0.042,0.080,0.009,0.009,2.000,0.000,0.356,4.613,0.034,0.022,0.635,0.248,0.098,-2.358,0,0.448,1.442,0.199,0.136,0.461,0.354,0.191,0.092,0.065,0.045,5.000,2.048,0.441,2.417,0.157,0.161
SK_191,4.298,0.003,0.006,2.270,0.063,0.071,176.311,28.994,23.583,21.487,0.050,0.044,-21.372,0.008,0.007,0.119,0.019,0.009,2.672,0.600,0.355,4.573,0.039,0.029,0.400,0.000,0.054,-4.411,0.685,0.381,2.135,0.303,0.163,0.223,0.049,0.070,0.290,0.212,0.141,6.357,0.532,0.389,99.990,0,0.000
SMC5_000398,4.225,0.004,0.006,4.300,0,0.101,-93.261,9.552,6.423,20.664,0.052,0.075,-22.198,0.010,0.007,0.147,0.011,0.008,2.566,0.423,0.293,4.574,0.021,0.015,0.833,0.125,0.076,-1.869,0,0.185,1.294,0.083,0.056,0.567,0.173,0.128,0.118,0.011,0.010,5.000,0,0.163,2.423,0.077,0.051
SMC5_003739,4.203,0.010,0.005,3.474,0.209,0.121,-42.928,10.420,8.102,21.650,0.016,0.010,-22.049,0.010,0.007,0.141,0.008,0.011,3.594,0.325,0.704,4.525,0.028,0.017,0.883,0.183,0.075,-3.047,0.296,0.542,1.649,0.129,0.260,0.689,0.279,0.205,0.112,0.020,0.020,5.000,0,0.000,2.450,0.266,0.447
SMC5_079264,4.243,0.010,0.006,4.220,0.292,0.213,16.980,20.208,20.035,22.048,0.020,0.021,-22.519,0.017,0.011,0.231,0.017,0.012,2.571,0.250,0.280,4.664,0.027,0.026,0.468,0.142,0.076,-5.628,0,0.538,2.433,0.122,0.163,0.101,0.050,0.044,0.118,0.018,0.023,5.000,0,0.174,2.730,0.059,0.071
SMC5_082923,4.215,0.009,0.004,3.714,0.192,0.099,-50.320,10.480,7.580,21.588,0.016,0.010,-22.231,0.014,0.005,0.129,0.020,0.004,2.046,0.567,0.196,4.573,0.018,0.010,0.784,0.113,0.050,-3.094,0.488,0.152,1.822,0.261,0.076,0.662,0.200,0.102,0.133,0.021,0.010,5.000,0,0.001,3.045,0.458,0.205
